Customer ID,Dining Preference,Room Preference,Sports Activities,Wellness,Pricing Pattern
81,Non-Vegetarian,Standard,Table Tennis,Sauna,Frugal
82,Vegan,Deluxe,None,Sauna,Frugal
83,Vegan,Deluxe,Swimming,Gym,Frugal
84,Vegan,Suite,Table Tennis,Gym,Frugal
85,Vegetarian,Suite,None,Massage,Frugal
86,Vegan,Deluxe,Table Tennis,Massage,Luxury
87,Vegetarian,Deluxe,Golf,None,Frugal
88,Non-Vegetarian,Deluxe,None,Massage,Luxury
89,Vegetarian,Suite,None,Massage,Luxury
90,Vegetarian,Deluxe,None,None,Frugal
91,Vegan,Standard,Golf,Sauna,Frugal
92,Vegetarian,Suite,None,Gym,Luxury
93,Vegan,Suite,None,Gym,Frugal
94,Non-Vegetarian,Standard,Table Tennis,Massage,Luxury
95,Vegan,Standard,Swimming,Gym,Luxury
96,Vegan,Suite,None,Sauna,Frugal
97,Vegan,Suite,Golf,Gym,Luxury
98,Non-Vegetarian,Suite,Golf,Gym,Frugal
99,Vegan,Standard,Swimming,None,Luxury
100,Vegan,Deluxe,None,None,Luxury
101,Non-Vegetarian,Deluxe,Table Tennis,None,Frugal
102,Vegan,Deluxe,Golf,Massage,Luxury
103,Vegetarian,Suite,None,Gym,Luxury
104,Vegan,Standard,None,None,Luxury
105,Non-Vegetarian,Standard,Table Tennis,Sauna,Frugal
106,Vegetarian,Standard,None,None,Frugal
107,Vegan,Deluxe,Golf,Sauna,Frugal
108,Vegan,Suite,Table Tennis,None,Luxury
109,Non-Vegetarian,Standard,Table Tennis,None,Luxury
110,Vegan,Deluxe,Swimming,Gym,Luxury
111,Vegetarian,Deluxe,None,None,Luxury
112,Non-Vegetarian,Deluxe,Swimming,Gym,Frugal
113,Non-Vegetarian,Suite,Table Tennis,Sauna,Luxury
114,Vegan,Standard,Table Tennis,Gym,Luxury
115,Vegetarian,Standard,Golf,Gym,Luxury
116,Non-Vegetarian,Suite,Swimming,None,Luxury
117,Non-Vegetarian,Suite,None,Massage,Luxury
118,Vegetarian,Suite,Table Tennis,Gym,Luxury
119,Non-Vegetarian,Standard,Golf,Gym,Frugal
120,Non-Vegetarian,Suite,Swimming,None,Luxury
121,Vegan,Deluxe,None,None,Luxury
122,Non-Vegetarian,Suite,None,None,Frugal
123,Non-Vegetarian,Deluxe,Golf,None,Luxury
124,Vegan,Deluxe,Table Tennis,Massage,Frugal
125,Vegan,Standard,Swimming,Massage,Luxury
126,Vegetarian,Standard,Swimming,None,Frugal
127,Vegetarian,Suite,None,Gym,Frugal
128,Non-Vegetarian,Deluxe,Swimming,Massage,Luxury
129,Vegetarian,Suite,None,None,Luxury
130,Vegetarian,Standard,Swimming,None,Frugal
131,Non-Vegetarian,Suite,Golf,Massage,Luxury
132,Non-Vegetarian,Standard,Swimming,Sauna,Luxury
133,Vegan,Suite,Golf,Massage,Luxury
134,Vegetarian,Standard,Golf,None,Luxury
135,Vegetarian,Standard,Table Tennis,Sauna,Frugal
136,Vegetarian,Deluxe,None,Sauna,Frugal
137,Vegetarian,Standard,Table Tennis,Massage,Frugal
138,Non-Vegetarian,Standard,None,Massage,Luxury
139,Vegetarian,Standard,Swimming,Gym,Luxury
140,Non-Vegetarian,Deluxe,Table Tennis,Massage,Luxury
141,Non-Vegetarian,Standard,None,None,Frugal
142,Non-Vegetarian,Standard,Table Tennis,Gym,Luxury
143,Non-Vegetarian,Standard,Golf,Sauna,Frugal
144,Non-Vegetarian,Standard,Table Tennis,Gym,Luxury
145,Non-Vegetarian,Standard,Golf,Sauna,Luxury
146,Vegetarian,Standard,None,Massage,Luxury
147,Non-Vegetarian,Suite,None,Gym,Frugal
148,Non-Vegetarian,Suite,Swimming,Gym,Luxury
149,Vegetarian,Deluxe,Golf,Sauna,Luxury
150,Non-Vegetarian,Suite,Table Tennis,None,Frugal
151,Vegan,Standard,None,None,Luxury
152,Vegan,Suite,None,None,Luxury
153,Vegan,Standard,Table Tennis,Sauna,Luxury
154,Non-Vegetarian,Deluxe,Golf,None,Luxury
155,Vegetarian,Standard,Swimming,Massage,Frugal
156,Non-Vegetarian,Standard,Table Tennis,Massage,Luxury
157,Vegan,Deluxe,Swimming,Gym,Luxury
158,Non-Vegetarian,Standard,Swimming,Sauna,Frugal
159,Vegetarian,Suite,Table Tennis,Sauna,Luxury
160,Vegetarian,Standard,None,None,Frugal
161,Vegetarian,Deluxe,Table Tennis,Massage,Luxury
162,Vegetarian,Deluxe,None,Gym,Luxury
163,Vegetarian,Standard,None,None,Luxury
164,Vegetarian,Deluxe,Golf,None,Frugal
165,Vegetarian,Deluxe,Golf,Sauna,Luxury
166,Vegan,Suite,Golf,Gym,Luxury
167,Non-Vegetarian,Suite,Table Tennis,Gym,Frugal
168,Non-Vegetarian,Standard,None,Sauna,Luxury
169,Vegetarian,Deluxe,Golf,Sauna,Luxury
170,Vegan,Suite,None,Sauna,Frugal
171,Non-Vegetarian,Deluxe,Golf,Sauna,Frugal
172,Vegetarian,Deluxe,Golf,Gym,Frugal
173,Non-Vegetarian,Deluxe,Golf,Sauna,Frugal
174,Non-Vegetarian,Deluxe,Swimming,Sauna,Luxury
175,Vegetarian,Suite,Swimming,Sauna,Frugal
176,Vegan,Standard,Swimming,Sauna,Frugal
177,Non-Vegetarian,Deluxe,Swimming,Sauna,Frugal
178,Non-Vegetarian,Deluxe,Golf,None,Luxury
179,Vegan,Deluxe,Table Tennis,None,Frugal
180,Vegetarian,Standard,Golf,Sauna,Luxury
181,Vegetarian,Deluxe,Swimming,Massage,Luxury
182,Vegetarian,Suite,Golf,Sauna,Luxury
183,Vegetarian,Deluxe,Swimming,Gym,Luxury
184,Vegan,Standard,Table Tennis,None,Frugal
185,Vegetarian,Deluxe,Golf,Gym,Frugal
186,Vegetarian,Standard,Table Tennis,Gym,Frugal
187,Vegetarian,Deluxe,Table Tennis,None,Frugal
188,Vegetarian,Standard,Golf,Sauna,Luxury
189,Non-Vegetarian,Standard,Table Tennis,Sauna,Luxury
190,Vegetarian,Standard,Table Tennis,Massage,Luxury
191,Vegan,Deluxe,Golf,Gym,Frugal
192,Non-Vegetarian,Suite,Golf,Gym,Frugal
193,Non-Vegetarian,Standard,Swimming,Gym,Luxury
194,Non-Vegetarian,Suite,None,None,Luxury
195,Vegan,Deluxe,Golf,None,Frugal
196,Non-Vegetarian,Deluxe,Swimming,Massage,Luxury
197,Vegan,Standard,Table Tennis,None,Luxury
198,Non-Vegetarian,Suite,Golf,None,Frugal
199,Non-Vegetarian,Suite,Golf,Gym,Frugal
200,Non-Vegetarian,Standard,None,Sauna,Frugal
201,Vegetarian,Deluxe,Table Tennis,Sauna,Luxury
202,Vegetarian,Deluxe,None,Massage,Frugal
203,Vegetarian,Standard,Swimming,Sauna,Luxury
204,Vegan,Standard,None,Massage,Frugal
205,Vegan,Deluxe,Golf,Massage,Luxury
206,Vegan,Standard,Swimming,Massage,Frugal
207,Vegetarian,Standard,Golf,None,Frugal
208,Non-Vegetarian,Standard,None,Massage,Luxury
209,Vegan,Standard,Swimming,Massage,Luxury
210,Vegetarian,Suite,Golf,None,Luxury
211,Vegetarian,Suite,None,Gym,Frugal
212,Non-Vegetarian,Suite,Table Tennis,Gym,Luxury
213,Vegetarian,Standard,Table Tennis,Massage,Luxury
214,Vegetarian,Deluxe,Table Tennis,Massage,Frugal
215,Vegetarian,Suite,None,None,Luxury
216,Vegetarian,Standard,Table Tennis,None,Luxury
217,Vegan,Deluxe,None,Gym,Frugal
218,Non-Vegetarian,Suite,Swimming,Massage,Frugal
219,Non-Vegetarian,Standard,Swimming,None,Frugal
220,Vegetarian,Suite,Table Tennis,Gym,Luxury
221,Vegan,Suite,Golf,Sauna,Luxury
222,Non-Vegetarian,Standard,Swimming,Gym,Frugal
223,Vegetarian,Standard,Golf,Sauna,Frugal
224,Vegan,Suite,Swimming,Sauna,Luxury
225,Non-Vegetarian,Standard,Swimming,None,Frugal
226,Vegan,Standard,Swimming,None,Frugal
227,Non-Vegetarian,Deluxe,Golf,Gym,Frugal
228,Vegan,Suite,Table Tennis,Sauna,Luxury
229,Non-Vegetarian,Standard,Table Tennis,Massage,Luxury
230,Non-Vegetarian,Deluxe,Table Tennis,Massage,Luxury
231,Vegetarian,Deluxe,Swimming,Massage,Luxury
232,Vegan,Suite,None,Gym,Luxury
233,Non-Vegetarian,Deluxe,Golf,Sauna,Frugal
234,Vegan,Suite,Swimming,Sauna,Luxury
235,Vegan,Deluxe,None,None,Frugal
236,Vegan,Standard,Golf,None,Luxury
237,Vegan,Suite,Golf,Gym,Frugal
238,Vegan,Deluxe,Table Tennis,Sauna,Luxury
239,Vegan,Suite,Table Tennis,Sauna,Frugal
240,Vegan,Deluxe,Golf,Sauna,Luxury
241,Vegetarian,Deluxe,Golf,Sauna,Frugal
242,Vegetarian,Deluxe,None,Sauna,Frugal
243,Non-Vegetarian,Deluxe,Swimming,Massage,Frugal
244,Vegan,Suite,Golf,None,Luxury
245,Non-Vegetarian,Standard,None,Sauna,Frugal
246,Vegetarian,Deluxe,None,Sauna,Frugal
247,Non-Vegetarian,Deluxe,Swimming,Gym,Frugal
248,Non-Vegetarian,Deluxe,None,None,Luxury
249,Vegetarian,Deluxe,None,Gym,Frugal
250,Vegetarian,Standard,Swimming,Sauna,Frugal
251,Vegan,Standard,Golf,Sauna,Frugal
252,Non-Vegetarian,Suite,Table Tennis,None,Frugal
253,Vegetarian,Deluxe,Golf,None,Frugal
254,Non-Vegetarian,Deluxe,None,Massage,Luxury
255,Vegan,Suite,Table Tennis,None,Luxury
256,Non-Vegetarian,Suite,Table Tennis,None,Luxury
257,Vegetarian,Suite,Swimming,Massage,Luxury
258,Non-Vegetarian,Deluxe,Golf,Gym,Luxury
259,Non-Vegetarian,Deluxe,Golf,Sauna,Frugal
260,Vegetarian,Standard,Table Tennis,Gym,Luxury
261,Non-Vegetarian,Deluxe,Swimming,Gym,Luxury
262,Non-Vegetarian,Deluxe,None,Sauna,Luxury
263,Vegetarian,Suite,None,None,Luxury
264,Vegan,Suite,None,None,Luxury
265,Vegetarian,Standard,Swimming,Gym,Luxury
266,Vegan,Standard,Table Tennis,Gym,Luxury
267,Non-Vegetarian,Standard,Table Tennis,Sauna,Frugal
268,Vegetarian,Deluxe,None,Massage,Luxury
269,Non-Vegetarian,Standard,None,Sauna,Luxury
270,Vegetarian,Deluxe,Golf,Massage,Frugal
271,Non-Vegetarian,Standard,Golf,Massage,Frugal
272,Non-Vegetarian,Suite,Golf,Massage,Luxury
273,Vegan,Deluxe,Swimming,Sauna,Frugal
274,Vegan,Suite,None,None,Luxury
275,Vegan,Suite,Table Tennis,Sauna,Luxury
276,Vegan,Deluxe,None,Gym,Frugal
277,Vegetarian,Standard,Table Tennis,Sauna,Frugal
278,Non-Vegetarian,Standard,None,Gym,Frugal
279,Vegetarian,Suite,Table Tennis,None,Frugal
280,Vegetarian,Standard,Table Tennis,None,Luxury
281,Non-Vegetarian,Standard,Table Tennis,Massage,Luxury
282,Vegan,Standard,Golf,None,Luxury
283,Vegan,Suite,None,None,Frugal
284,Vegan,Standard,Table Tennis,Gym,Luxury
285,Non-Vegetarian,Suite,Golf,None,Frugal
286,Vegan,Deluxe,Table Tennis,None,Luxury
287,Non-Vegetarian,Suite,None,None,Luxury
288,Non-Vegetarian,Deluxe,Golf,Sauna,Luxury
289,Non-Vegetarian,Suite,Swimming,Massage,Luxury
290,Vegetarian,Suite,Swimming,Sauna,Frugal
291,Vegetarian,Standard,Swimming,Sauna,Luxury
292,Vegan,Deluxe,Swimming,Sauna,Luxury
293,Non-Vegetarian,Suite,Swimming,None,Luxury
294,Vegetarian,Suite,Golf,None,Luxury
295,Non-Vegetarian,Suite,Table Tennis,Gym,Luxury
296,Vegetarian,Standard,Golf,None,Luxury
297,Vegetarian,Suite,Table Tennis,Gym,Frugal
298,Non-Vegetarian,Suite,Golf,Gym,Frugal
299,Vegan,Suite,Golf,None,Luxury
300,Non-Vegetarian,Suite,Swimming,Massage,Frugal
301,Non-Vegetarian,Suite,Table Tennis,Gym,Luxury
302,Vegetarian,Standard,Golf,Massage,Luxury
303,Vegetarian,Suite,Swimming,Gym,Frugal
304,Vegetarian,Suite,None,Sauna,Luxury
305,Vegetarian,Suite,None,Massage,Luxury
306,Vegetarian,Deluxe,None,Sauna,Frugal
307,Vegan,Standard,Table Tennis,Gym,Luxury
308,Non-Vegetarian,Standard,Golf,Gym,Frugal
309,Non-Vegetarian,Deluxe,Table Tennis,None,Frugal
310,Non-Vegetarian,Standard,Table Tennis,Massage,Luxury
311,Vegan,Suite,Table Tennis,Massage,Frugal
312,Vegetarian,Deluxe,None,Massage,Frugal
313,Vegetarian,Suite,None,Massage,Frugal
314,Vegan,Deluxe,Golf,None,Luxury
315,Vegetarian,Deluxe,Swimming,Gym,Luxury
316,Vegan,Suite,Swimming,Sauna,Luxury
317,Vegetarian,Suite,Swimming,Sauna,Luxury
318,Vegetarian,Standard,Golf,Gym,Frugal
319,Non-Vegetarian,Deluxe,Swimming,Gym,Luxury
320,Non-Vegetarian,Standard,Golf,None,Luxury
321,Vegan,Standard,Golf,None,Frugal
322,Non-Vegetarian,Suite,None,Sauna,Luxury
323,Vegetarian,Deluxe,Table Tennis,None,Frugal
324,Vegetarian,Standard,None,None,Frugal
325,Non-Vegetarian,Standard,Table Tennis,Sauna,Luxury
326,Vegetarian,Deluxe,Table Tennis,Gym,Luxury
327,Vegan,Deluxe,Golf,Gym,Frugal
328,Non-Vegetarian,Standard,None,None,Frugal
329,Vegetarian,Deluxe,Golf,Gym,Luxury
330,Non-Vegetarian,Suite,Swimming,Sauna,Frugal
331,Non-Vegetarian,Deluxe,Golf,Gym,Luxury
332,Vegetarian,Deluxe,Golf,Gym,Luxury
333,Vegan,Suite,Golf,Massage,Luxury
334,Non-Vegetarian,Standard,Golf,Gym,Luxury
335,Non-Vegetarian,Standard,Golf,None,Luxury
336,Non-Vegetarian,Standard,Golf,None,Luxury
337,Non-Vegetarian,Standard,Golf,Gym,Frugal
338,Non-Vegetarian,Deluxe,Swimming,Sauna,Luxury
339,Vegan,Standard,None,Sauna,Frugal
340,Non-Vegetarian,Standard,None,Sauna,Frugal
341,Non-Vegetarian,Suite,None,Massage,Luxury
342,Non-Vegetarian,Deluxe,Swimming,Massage,Luxury
343,Vegan,Deluxe,Table Tennis,None,Frugal
344,Vegetarian,Suite,Golf,Massage,Luxury
345,Vegan,Deluxe,Golf,None,Luxury
346,Vegan,Suite,Swimming,Massage,Luxury
347,Vegan,Deluxe,Table Tennis,Massage,Frugal
348,Non-Vegetarian,Deluxe,Golf,Gym,Luxury
349,Vegan,Standard,None,Sauna,Luxury
350,Vegan,Deluxe,None,Massage,Frugal
351,Vegan,Deluxe,Table Tennis,Massage,Luxury
352,Vegetarian,Standard,Table Tennis,Massage,Frugal
353,Non-Vegetarian,Deluxe,Table Tennis,Gym,Luxury
354,Non-Vegetarian,Standard,Table Tennis,Gym,Luxury
355,Vegan,Suite,Golf,Massage,Luxury
356,Non-Vegetarian,Suite,Golf,Massage,Frugal
357,Non-Vegetarian,Suite,Swimming,Massage,Frugal
358,Vegan,Suite,Swimming,Gym,Luxury
359,Non-Vegetarian,Suite,Table Tennis,None,Frugal
360,Vegan,Standard,None,Gym,Luxury
361,Vegetarian,Suite,None,Massage,Luxury
362,Vegetarian,Suite,Swimming,Gym,Frugal
363,Vegan,Deluxe,Golf,None,Luxury
364,Vegetarian,Standard,Golf,Massage,Frugal
365,Vegan,Suite,Swimming,Massage,Luxury
366,Vegan,Deluxe,Swimming,Gym,Frugal
367,Vegan,Suite,Table Tennis,Massage,Frugal
368,Vegetarian,Deluxe,Golf,Gym,Luxury
369,Non-Vegetarian,Suite,Table Tennis,Gym,Luxury
370,Vegan,Standard,Golf,Gym,Luxury
371,Vegetarian,Suite,Golf,Sauna,Luxury
372,Vegan,Suite,Golf,Massage,Luxury
373,Vegetarian,Suite,None,Massage,Frugal
374,Vegan,Suite,Table Tennis,None,Frugal
375,Vegetarian,Suite,Table Tennis,Gym,Frugal
376,Non-Vegetarian,Suite,None,Gym,Luxury
377,Vegan,Suite,Table Tennis,Massage,Luxury
378,Non-Vegetarian,Standard,Table Tennis,Sauna,Luxury
379,Vegan,Standard,Swimming,Massage,Luxury
380,Vegan,Deluxe,Swimming,Gym,Frugal
381,Non-Vegetarian,Suite,Golf,Sauna,Frugal
382,Non-Vegetarian,Deluxe,Swimming,Sauna,Frugal
383,Non-Vegetarian,Suite,Golf,None,Luxury
384,Vegan,Standard,Table Tennis,Gym,Luxury
385,Vegan,Suite,Golf,Sauna,Luxury
386,Vegan,Suite,Table Tennis,Sauna,Frugal
387,Non-Vegetarian,Suite,Swimming,Sauna,Luxury
388,Vegetarian,Deluxe,Golf,Gym,Luxury
389,Vegan,Standard,Table Tennis,None,Frugal
390,Non-Vegetarian,Suite,Table Tennis,None,Frugal
391,Vegetarian,Suite,Golf,Massage,Luxury
392,Vegetarian,Standard,Golf,None,Frugal
393,Vegan,Deluxe,Table Tennis,Massage,Frugal
394,Vegetarian,Deluxe,Golf,Massage,Frugal
395,Non-Vegetarian,Deluxe,Swimming,Massage,Frugal
396,Non-Vegetarian,Standard,Swimming,Gym,Frugal
397,Vegetarian,Deluxe,Table Tennis,None,Frugal
398,Non-Vegetarian,Suite,Swimming,Gym,Luxury
399,Non-Vegetarian,Suite,None,Gym,Luxury
400,Non-Vegetarian,Standard,None,None,Luxury
401,Vegetarian,Deluxe,Swimming,Massage,Frugal
402,Vegetarian,Deluxe,Golf,None,Frugal
403,Vegan,Deluxe,Swimming,Massage,Frugal
404,Non-Vegetarian,Deluxe,Swimming,Gym,Luxury
405,Vegan,Suite,Golf,None,Frugal
406,Non-Vegetarian,Standard,None,Sauna,Frugal
407,Non-Vegetarian,Standard,Table Tennis,None,Luxury
408,Vegan,Deluxe,Swimming,Massage,Luxury
409,Non-Vegetarian,Standard,Table Tennis,None,Luxury
410,Vegetarian,Standard,None,None,Frugal
411,Vegan,Standard,None,Gym,Frugal
412,Vegan,Suite,Swimming,Gym,Luxury
413,Non-Vegetarian,Suite,Swimming,None,Frugal
414,Non-Vegetarian,Suite,Golf,Gym,Luxury
415,Non-Vegetarian,Deluxe,Swimming,None,Luxury
416,Vegan,Deluxe,None,Gym,Luxury
417,Vegan,Deluxe,Golf,Massage,Frugal
418,Vegetarian,Suite,Swimming,Massage,Luxury
419,Vegan,Standard,None,Massage,Frugal
420,Non-Vegetarian,Deluxe,Golf,Gym,Frugal
421,Vegan,Suite,Swimming,Massage,Frugal
422,Vegan,Suite,Golf,Massage,Frugal
423,Non-Vegetarian,Suite,None,Massage,Frugal
424,Non-Vegetarian,Standard,Table Tennis,Massage,Luxury
425,Non-Vegetarian,Standard,Table Tennis,None,Luxury
426,Vegan,Suite,None,None,Frugal
427,Vegan,Suite,Golf,None,Luxury
428,Non-Vegetarian,Standard,Table Tennis,None,Luxury
429,Vegan,Deluxe,None,Massage,Luxury
430,Vegetarian,Deluxe,Table Tennis,Massage,Luxury
431,Vegan,Standard,Golf,Massage,Frugal
432,Non-Vegetarian,Deluxe,Table Tennis,Massage,Luxury
433,Vegetarian,Standard,None,Massage,Luxury
434,Vegetarian,Deluxe,Swimming,None,Luxury
435,Vegan,Suite,Swimming,None,Luxury
436,Vegan,Deluxe,Golf,None,Frugal
437,Vegetarian,Deluxe,Table Tennis,Massage,Frugal
438,Non-Vegetarian,Suite,Swimming,Gym,Frugal
439,Vegan,Deluxe,None,None,Frugal
440,Non-Vegetarian,Suite,None,Massage,Luxury
441,Non-Vegetarian,Deluxe,Golf,Massage,Frugal
442,Vegetarian,Suite,None,Gym,Luxury
443,Non-Vegetarian,Suite,Golf,Sauna,Frugal
444,Vegetarian,Suite,Table Tennis,None,Luxury
445,Vegetarian,Standard,Golf,None,Frugal
446,Vegetarian,Deluxe,Golf,Sauna,Luxury
447,Vegetarian,Standard,Golf,None,Luxury
448,Non-Vegetarian,Deluxe,Swimming,Sauna,Frugal
449,Vegetarian,Suite,Table Tennis,Sauna,Luxury
450,Non-Vegetarian,Deluxe,None,None,Frugal
451,Non-Vegetarian,Deluxe,Swimming,None,Luxury
452,Vegetarian,Deluxe,None,None,Luxury
453,Non-Vegetarian,Standard,None,Gym,Frugal
454,Non-Vegetarian,Deluxe,Golf,Gym,Frugal
455,Vegan,Standard,Table Tennis,Sauna,Luxury
456,Vegetarian,Suite,None,Gym,Frugal
457,Vegan,Suite,Table Tennis,Sauna,Luxury
458,Non-Vegetarian,Standard,Golf,Massage,Luxury
459,Non-Vegetarian,Suite,Golf,Gym,Luxury
460,Vegetarian,Deluxe,Swimming,None,Frugal
461,Vegetarian,Standard,None,Massage,Frugal
462,Vegetarian,Standard,None,Gym,Luxury
463,Non-Vegetarian,Suite,None,None,Frugal
464,Non-Vegetarian,Suite,None,Sauna,Luxury
465,Vegan,Deluxe,Table Tennis,Massage,Luxury
466,Vegetarian,Standard,Swimming,Massage,Frugal
467,Vegetarian,Deluxe,Swimming,Sauna,Luxury
468,Non-Vegetarian,Standard,None,Sauna,Frugal
469,Non-Vegetarian,Suite,None,Sauna,Luxury
470,Vegan,Standard,None,None,Luxury
471,Vegetarian,Standard,None,Massage,Luxury
472,Non-Vegetarian,Deluxe,None,Gym,Frugal
473,Vegetarian,Standard,None,Gym,Frugal
474,Non-Vegetarian,Suite,Table Tennis,Gym,Luxury
475,Non-Vegetarian,Suite,Table Tennis,Massage,Luxury
476,Non-Vegetarian,Deluxe,Swimming,Gym,Luxury
477,Vegan,Deluxe,Table Tennis,Gym,Frugal
478,Vegan,Standard,Golf,Gym,Luxury
479,Non-Vegetarian,Standard,None,Gym,Frugal
480,Non-Vegetarian,Standard,Table Tennis,None,Frugal
481,Vegetarian,Standard,Table Tennis,Massage,Frugal
482,Non-Vegetarian,Deluxe,Table Tennis,None,Frugal
483,Vegetarian,Deluxe,Golf,Massage,Luxury
484,Vegetarian,Suite,Swimming,Gym,Luxury
485,Vegetarian,Deluxe,None,Gym,Luxury
486,Vegetarian,Deluxe,Table Tennis,Gym,Luxury
487,Vegetarian,Deluxe,Golf,Massage,Frugal
488,Vegan,Suite,Golf,None,Luxury
489,Vegetarian,Deluxe,None,Gym,Luxury
490,Non-Vegetarian,Suite,Golf,Gym,Frugal
491,Vegan,Standard,Golf,None,Frugal
492,Vegetarian,Deluxe,None,Massage,Luxury
493,Vegan,Standard,Golf,Sauna,Frugal
494,Vegan,Standard,Swimming,None,Frugal
495,Non-Vegetarian,Deluxe,Table Tennis,Massage,Frugal
496,Non-Vegetarian,Deluxe,Swimming,Gym,Frugal
497,Non-Vegetarian,Deluxe,Golf,Gym,Luxury
498,Non-Vegetarian,Deluxe,Golf,Sauna,Frugal
499,Vegetarian,Suite,None,None,Luxury
500,Non-Vegetarian,Suite,Swimming,Sauna,Luxury
501,Vegetarian,Suite,Table Tennis,Gym,Luxury
502,Non-Vegetarian,Suite,Swimming,None,Frugal
503,Vegetarian,Suite,Table Tennis,Massage,Luxury
504,Vegetarian,Suite,Golf,Gym,Frugal
505,Vegan,Suite,Golf,None,Luxury
506,Vegetarian,Suite,Swimming,Massage,Frugal
507,Non-Vegetarian,Suite,Golf,None,Luxury
